2026-06-16 23:58:44 | ПК | Створено Heart з пульсом: 40 | message
2026-06-16 23:58:44 | ПК | Створено Amphibian: Жаба трав'яна | message
2026-06-16 23:58:44 | ПК | Створено Heart з пульсом: 35 | message
2026-06-16 23:58:44 | ПК | Створено Amphibian: Ропуха сіра | message
2026-06-16 23:58:44 | ПК | Створено Heart з пульсом: 30 | message
2026-06-16 23:58:44 | ПК | Створено Amphibian: Саламандра плямиста | message
2026-06-16 23:58:44 | ПК | Викликано describe для: Жаба трав'яна | message
2026-06-16 23:58:44 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-16 23:58:44 | ПК | Викликано describe для: Ропуха сіра | message
2026-06-16 23:58:44 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-16 23:58:44 | ПК | Викликано describe для: Саламандра плямиста | message
2026-06-16 23:58:44 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-17 00:01:51 | ПК | Створено Heart з пульсом: 40 | message
2026-06-17 00:01:51 | ПК | Створено Amphibian: Жаба трав'яна | message
2026-06-17 00:01:51 | ПК | Створено Heart з пульсом: 35 | message
2026-06-17 00:01:51 | ПК | Створено Amphibian: Ропуха сіра | message
2026-06-17 00:01:51 | ПК | Створено Heart з пульсом: 30 | message
2026-06-17 00:01:51 | ПК | Створено Amphibian: Саламандра плямиста | message
2026-06-17 00:01:51 | ПК | Викликано describe для: Жаба трав'яна | message
2026-06-17 00:01:51 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-17 00:01:51 | ПК | Викликано describe для: Ропуха сіра | message
2026-06-17 00:01:51 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-17 00:01:51 | ПК | Викликано describe для: Саламандра плямиста | message
2026-06-17 00:01:51 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-17 00:04:09 | ПК | Створено Heart з пульсом: 40 | message
2026-06-17 00:04:09 | ПК | Створено Amphibian: Жаба трав'яна | message
2026-06-17 00:04:09 | ПК | Створено Heart з пульсом: 35 | message
2026-06-17 00:04:09 | ПК | Створено Amphibian: Ропуха сіра | message
2026-06-17 00:04:09 | ПК | Створено Heart з пульсом: 30 | message
2026-06-17 00:04:09 | ПК | Створено Amphibian: Саламандра плямиста | message
2026-06-17 00:04:09 | ПК | Викликано describe для: Жаба трав'яна | message
2026-06-17 00:04:09 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-17 00:04:09 | ПК | Викликано describe для: Ропуха сіра | message
2026-06-17 00:04:09 | ПК | Створено Classification: Жаби, Ranidae | message
2026-06-17 00:04:09 | ПК | Викликано describe для: Саламандра плямиста | message
2026-06-17 00:04:09 | ПК | Створено Classification: Жаби, Ranidae | message
