2026-06-16 23:58:43 | ПК | Створено Habitat: Болото | message
2026-06-16 23:58:43 | ПК | Створено Habitat: Річка | message
2026-06-16 23:58:44 | ПК | Викликано getInfo для: Болото | message
2026-06-16 23:58:44 | ПК | Викликано getInfo для: Річка | message
2026-06-16 23:58:44 | ПК | Викликано getInfo для: Болото | message
2026-06-17 00:01:51 | ПК | Створено Habitat: Болото | message
2026-06-17 00:01:51 | ПК | Створено Habitat: Річка | message
2026-06-17 00:01:51 | ПК | Викликано getInfo для: Болото | message
2026-06-17 00:01:51 | ПК | Викликано getInfo для: Річка | message
2026-06-17 00:01:51 | ПК | Викликано getInfo для: Болото | message
2026-06-17 00:04:09 | ПК | Створено Habitat: Болото | message
2026-06-17 00:04:09 | ПК | Створено Habitat: Річка | message
2026-06-17 00:04:09 | ПК | Викликано getInfo для: Болото | message
2026-06-17 00:04:09 | ПК | Викликано getInfo для: Річка | message
2026-06-17 00:04:09 | ПК | Викликано getInfo для: Болото | message
